x y z value
9.765625e-02 9.375000e-02 7.356534e-07 -9.135828e-01
9.765625e-02 1.875000e-01 1.124859e-06 -1.160851e+00
9.765625e-02 2.812500e-01 2.784428e-06 -1.334998e+00
9.765625e-02 3.750000e-01 4.297386e-06 1.515416e+00
9.765625e-02 4.687500e-01 1.163594e-05 1.364829e+00
9.765625e-02 5.625000e-01 2.096258e-05 1.255345e+00
9.765625e-02 6.562500e-01 4.808684e-05 1.230148e+00
9.765625e-02 7.500000e-01 7.641548e-05 1.260061e+00
9.765625e-02 8.437500e-01 1.106161e-04 1.274898e+00
9.765625e-02 9.375000e-01 1.531910e-04 1.291627e+00
9.765625e-02 1.031250e+00 1.923343e-04 1.293048e+00
9.765625e-02 1.125000e+00 2.495913e-04 1.283769e+00
9.765625e-02 1.218750e+00 3.228706e-04 1.281990e+00
9.765625e-02 1.312500e+00 3.992742e-04 1.284342e+00
9.765625e-02 1.406250e+00 4.816034e-04 1.284657e+00
9.765625e-02 1.500000e+00 5.752329e-04 1.284410e+00
9.765625e-02 1.593750e+00 6.764684e-04 1.284266e+00
9.765625e-02 1.687500e+00 7.853747e-04 1.284377e+00
9.765625e-02 1.781250e+00 8.999261e-04 1.284316e+00
9.765625e-02 1.875000e+00 1.020967e-03 1.284374e+00
9.765625e-02 1.968750e+00 1.145623e-03 1.284319e+00
9.765625e-02 2.062500e+00 1.274439e-03 1.284368e+00
9.765625e-02 2.156250e+00 1.404365e-03 1.284325e+00
9.765625e-02 2.250000e+00 1.535728e-03 1.284362e+00
9.765625e-02 2.343750e+00 1.665409e-03 1.284330e+00
9.765625e-02 2.437500e+00 1.793467e-03 1.284358e+00
9.765625e-02 2.531250e+00 1.916918e-03 1.284334e+00
9.765625e-02 2.625000e+00 2.035521e-03 1.284353e+00
9.765625e-02 2.718750e+00 2.146631e-03 1.284339e+00
9.765625e-02 2.812500e+00 2.249684e-03 1.284349e+00
9.765625e-02 2.906250e+00 2.342577e-03 1.284343e+00
9.765625e-02 3.000000e+00 2.424401e-03 1.284345e+00
9.765625e-02 3.093750e+00 2.493789e-03 1.284347e+00
9.765625e-02 3.187500e+00 2.549481e-03 1.284341e+00
9.765625e-02 3.281250e+00 2.591007e-03 1.284351e+00
9.765625e-02 3.375000e+00 2.616766e-03 1.284336e+00
9.765625e-02 3.468750e+00 2.627307e-03 1.284355e+00
9.765625e-02 3.562500e+00 2.620713e-03 1.284332e+00
9.765625e-02 3.656250e+00 2.598633e-03 1.284360e+00
9.765625e-02 3.750000e+00 2.558869e-03 1.284327e+00
9.765625e-02 3.843750e+00 2.504192e-03 1.284365e+00
9.765625e-02 3.937500e+00 2.432186e-03 1.284322e+00
9.765625e-02 4.031250e+00 2.346703e-03 1.284370e+00
9.765625e-02 4.125000e+00 2.245161e-03 1.284317e+00
9.765625e-02 4.218750e+00 2.132422e-03 1.284380e+00
9.765625e-02 4.312500e+00 2.006003e-03 1.284307e+00
9.765625e-02 4.406250e+00 1.871345e-03 1.284344e+00
9.765625e-02 4.500000e+00 1.724596e-03 1.284318e+00
9.765625e-02 4.593750e+00 1.574272e-03 1.284756e+00
9.765625e-02 4.687500e+00 1.424721e-03 1.284286e+00
9.765625e-02 4.781250e+00 1.268369e-03 1.282104e+00
9.765625e-02 4.875000e+00 1.081015e-03 1.283307e+00
9.765625e-02 4.968750e+00 9.255402e-04 1.293072e+00
9.765625e-02 5.062500e+00 8.248627e-04 1.292729e+00
9.765625e-02 5.156250e+00 6.804927e-04 1.276292e+00
9.765625e-02 5.250000e+00 5.357481e-04 1.258667e+00
9.765625e-02 5.343750e+00 3.948677e-04 1.226960e+00
9.765625e-02 5.437500e+00 2.031506e-04 1.244691e+00
9.765625e-02 5.531250e+00 1.300749e-04 1.359274e+00
9.765625e-02 5.625000e+00 6.192636e-05 1.533548e+00
9.765625e-02 5.718750e+00 5.593165e-05 -1.292780e+00
9.765625e-02 5.812500e+00 3.995701e-05 -1.106023e+00
9.765625e-02 5.906250e+00 5.110582e-05 -9.050008e-01
9.765625e-02 6.000000e+00 3.485110e-05 -9.226434e-01
1.953125e-01 9.375000e-02 -8.660492e-07 -1.043793e+00
1.953125e-01 1.875000e-01 -2.613569e-06 -1.272051e+00
1.953125e-01 2.812500e-01 -4.595381e-06 -1.413066e+00
1.953125e-01 3.750000e-01 -1.136996e-05 1.445381e+00
1.953125e-01 4.687500e-01 -2.152717e-05 1.292858e+00
1.953125e-01 5.625000e-01 -4.665165e-05 1.179662e+00
1.953125e-01 6.562500e-01 -7.748628e-05 1.151493e+00
1.953125e-01 7.500000e-01 -1.288751e-04 1.182311e+00
1.953125e-01 8.437500e-01 -1.924175e-04 1.197498e+00
1.953125e-01 9.375000e-01 -2.628841e-04 1.214318e+00
1.953125e-01 1.031250e+00 -3.531958e-04 1.215977e+00
1.953125e-01 1.125000e+00 -4.534676e-04 1.206624e+00
1.953125e-01 1.218750e+00 -5.696954e-04 1.204745e+00
1.953125e-01 1.312500e+00 -7.070379e-04 1.207113e+00
1.953125e-01 1.406250e+00 -8.597481e-04 1.207448e+00
1.953125e-01 1.500000e+00 -1.024715e-03 1.207198e+00
1.953125e-01 1.593750e+00 -1.204939e-03 1.207052e+00
1.953125e-01 1.687500e+00 -1.397968e-03 1.207163e+00
1.953125e-01 1.781250e+00 -1.603263e-03 1.207103e+00
1.953125e-01 1.875000e+00 -1.817630e-03 1.207160e+00
1.953125e-01 1.968750e+00 -2.040791e-03 1.207106e+00
1.953125e-01 2.062500e+00 -2.269018e-03 1.207154e+00
1.953125e-01 2.156250e+00 -2.501559e-03 1.207111e+00
1.953125e-01 2.250000e+00 -2.734381e-03 1.207149e+00
1.953125e-01 2.343750e+00 -2.966383e-03 1.207116e+00
