x y z value
9.765625e-02 9.375000e-02 2.148790e-07 -8.728633e-01
9.765625e-02 1.875000e-01 8.575931e-07 -8.985866e-01
9.765625e-02 2.812500e-01 1.504482e-06 -9.501841e-01
9.765625e-02 3.750000e-01 3.015439e-06 -9.807940e-01
9.765625e-02 4.687500e-01 4.196904e-06 -1.040637e+00
9.765625e-02 5.625000e-01 6.764643e-06 -1.089394e+00
9.765625e-02 6.562500e-01 8.885533e-06 -1.156798e+00
9.765625e-02 7.500000e-01 1.319548e-05 -1.215008e+00
9.765625e-02 8.437500e-01 1.708725e-05 -1.281125e+00
9.765625e-02 9.375000e-01 2.455920e-05 -1.335989e+00
9.765625e-02 1.031250e+00 3.162133e-05 -1.387405e+00
9.765625e-02 1.125000e+00 4.429886e-05 -1.426400e+00
9.765625e-02 1.218750e+00 5.637661e-05 -1.454057e+00
9.765625e-02 1.312500e+00 7.592623e-05 -1.472892e+00
9.765625e-02 1.406250e+00 9.400715e-05 -1.476416e+00
9.765625e-02 1.500000e+00 1.192713e-04 -1.476131e+00
9.765625e-02 1.593750e+00 1.446232e-04 -1.463023e+00
9.765625e-02 1.687500e+00 1.711935e-04 -1.454353e+00
9.765625e-02 1.781250e+00 1.973186e-04 -1.436027e+00
9.765625e-02 1.875000e+00 2.174978e-04 -1.420682e+00
9.765625e-02 1.968750e+00 2.482406e-04 -1.409227e+00
9.765625e-02 2.062500e+00 2.650142e-04 -1.406830e+00
9.765625e-02 2.156250e+00 2.849003e-04 -1.412821e+00
9.765625e-02 2.250000e+00 3.034028e-04 -1.416518e+00
9.765625e-02 2.343750e+00 3.234024e-04 -1.426074e+00
9.765625e-02 2.437500e+00 3.594615e-04 -1.429401e+00
9.765625e-02 2.531250e+00 3.955637e-04 -1.435552e+00
9.765625e-02 2.625000e+00 4.336351e-04 -1.443560e+00
9.765625e-02 2.718750e+00 4.501430e-04 -1.437123e+00
9.765625e-02 2.812500e+00 4.641534e-04 -1.429065e+00
9.765625e-02 2.906250e+00 4.781362e-04 -1.418869e+00
9.765625e-02 3.000000e+00 4.825827e-04 -1.409742e+00
9.765625e-02 3.093750e+00 5.091781e-04 -1.416824e+00
9.765625e-02 3.187500e+00 5.298051e-04 -1.426941e+00
9.765625e-02 3.281250e+00 5.439052e-04 -1.435918e+00
9.765625e-02 3.375000e+00 5.573460e-04 -1.444545e+00
9.765625e-02 3.468750e+00 5.428424e-04 -1.438685e+00
9.765625e-02 3.562500e+00 5.233478e-04 -1.431550e+00
9.765625e-02 3.656250e+00 5.028424e-04 -1.427178e+00
9.765625e-02 3.750000e+00 5.023441e-04 -1.415961e+00
9.765625e-02 3.843750e+00 5.067978e-04 -1.410027e+00
9.765625e-02 3.937500e+00 5.054930e-04 -1.403816e+00
9.765625e-02 4.031250e+00 5.100392e-04 -1.405783e+00
