x y z value
9.765625e-02 9.375000e-02 -3.165371e-07 -8.457283e-01
9.765625e-02 1.875000e-01 -4.077034e-07 -9.796375e-01
9.765625e-02 2.812500e-01 -1.011147e-06 -1.104820e+00
9.765625e-02 3.750000e-01 -1.449213e-06 -1.321445e+00
9.765625e-02 4.687500e-01 -3.392866e-06 -1.477734e+00
9.765625e-02 5.625000e-01 -5.986805e-06 1.514235e+00
9.765625e-02 6.562500e-01 -1.118035e-05 1.471332e+00
9.765625e-02 7.500000e-01 -1.883131e-05 1.440409e+00
9.765625e-02 8.437500e-01 -2.668349e-05 1.467402e+00
9.765625e-02 9.375000e-01 -3.927877e-05 1.496150e+00
9.765625e-02 1.031250e+00 -5.190141e-05 1.505208e+00
9.765625e-02 1.125000e+00 -6.670437e-05 1.509400e+00
9.765625e-02 1.218750e+00 -8.488329e-05 1.501124e+00
9.765625e-02 1.312500e+00 -1.033489e-04 1.494558e+00
9.765625e-02 1.406250e+00 -1.251576e-04 1.497276e+00
9.765625e-02 1.500000e+00 -1.505937e-04 1.499557e+00
9.765625e-02 1.593750e+00 -1.771374e-04 1.499026e+00
9.765625e-02 1.687500e+00 -2.051036e-04 1.498539e+00
9.765625e-02 1.781250e+00 -2.351471e-04 1.498626e+00
9.765625e-02 1.875000e+00 -2.667518e-04 1.498688e+00
9.765625e-02 1.968750e+00 -2.994433e-04 1.498686e+00
9.765625e-02 2.062500e+00 -3.329751e-04 1.498672e+00
9.765625e-02 2.156250e+00 -3.670407e-04 1.498679e+00
9.765625e-02 2.250000e+00 -4.012605e-04 1.498674e+00
9.765625e-02 2.343750e+00 -4.352522e-04 1.498678e+00
9.765625e-02 2.437500e+00 -4.686200e-04 1.498675e+00
9.765625e-02 2.531250e+00 -5.009659e-04 1.498678e+00
9.765625e-02 2.625000e+00 -5.318847e-04 1.498675e+00
9.765625e-02 2.718750e+00 -5.609807e-04 1.498677e+00
9.765625e-02 2.812500e+00 -5.878649e-04 1.498676e+00
9.765625e-02 2.906250e+00 -6.121678e-04 1.498677e+00
9.765625e-02 3.000000e+00 -6.335403e-04 1.498676e+00
9.765625e-02 3.093750e+00 -6.516623e-04 1.498676e+00
9.765625e-02 3.187500e+00 -6.662471e-04 1.498677e+00
9.765625e-02 3.281250e+00 -6.770452e-04 1.498676e+00
9.765625e-02 3.375000e+00 -6.838524e-04 1.498678e+00
9.765625e-02 3.468750e+00 -6.865080e-04 1.498675e+00
9.765625e-02 3.562500e+00 -6.849071e-04 1.498678e+00
9.765625e-02 3.656250e+00 -6.789922e-04 1.498674e+00
9.765625e-02 3.750000e+00 -6.687688e-04 1.498679e+00
9.765625e-02 3.843750e+00 -6.542885e-04 1.498673e+00
9.765625e-02 3.937500e+00 -6.356808e-04 1.498678e+00
9.765625e-02 4.031250e+00 -6.131443e-04 1.498679e+00
9.765625e-02 4.125000e+00 -5.868618e-04 1.498697e+00
9.765625e-02 4.218750e+00 -5.569227e-04 1.498621e+00
9.765625e-02 4.312500e+00 -5.241127e-04 1.498536e+00
9.765625e-02 4.406250e+00 -4.897506e-04 1.498983e+00
9.765625e-02 4.500000e+00 -4.520055e-04 1.499641e+00
9.765625e-02 4.593750e+00 -4.087302e-04 1.497481e+00
9.765625e-02 4.687500e+00 -3.683398e-04 1.494276e+00
9.765625e-02 4.781250e+00 -3.334526e-04 1.500102e+00
9.765625e-02 4.875000e+00 -2.905139e-04 1.509951e+00
9.765625e-02 4.968750e+00 -2.489613e-04 1.507684e+00
9.765625e-02 5.062500e+00 -2.112087e-04 1.497425e+00
9.765625e-02 5.156250e+00 -1.639220e-04 1.467209e+00
9.765625e-02 5.250000e+00 -1.306610e-04 1.434826e+00
9.765625e-02 5.343750e+00 -9.205906e-05 1.457121e+00
9.765625e-02 5.437500e+00 -5.818555e-05 1.505989e+00
9.765625e-02 5.531250e+00 -3.915117e-05 -1.475117e+00
9.765625e-02 5.625000e+00 -2.184994e-05 -1.282666e+00
9.765625e-02 5.718750e+00 -1.967968e-05 -1.042744e+00
9.765625e-02 5.812500e+00 -1.311807e-05 -9.082584e-01
9.765625e-02 5.906250e+00 -1.850376e-05 -8.012421e-01
9.765625e-02 6.000000e+00 -1.385569e-05 -8.216635e-01
1.953125e-01 9.375000e-02 7.294798e-07 -1.169139e+00
1.953125e-01 1.875000e-01 3.561309e-06 -1.301531e+00
1.953125e-01 2.812500e-01 2.297360e-06 -1.456540e+00
1.953125e-01 3.750000e-01 8.147177e-06 1.456300e+00
1.953125e-01 4.687500e-01 9.045631e-06 1.290290e+00
1.953125e-01 5.625000e-01 2.805481e-05 1.144811e+00
1.953125e-01 6.562500e-01 4.950032e-05 1.104595e+00
1.953125e-01 7.500000e-01 9.077929e-05 1.076501e+00
1.953125e-01 8.437500e-01 1.620680e-04 1.105958e+00
1.953125e-01 9.375000e-01 2.004979e-04 1.133690e+00
1.953125e-01 1.031250e+00 2.636344e-04 1.142048e+00
1.953125e-01 1.125000e+00 3.286572e-04 1.146314e+00
1.953125e-01 1.218750e+00 3.959757e-04 1.137886e+00
1.953125e-01 1.312500e+00 5.143836e-04 1.131349e+00
1.953125e-01 1.406250e+00 6.378878e-04 1.134182e+00
1.953125e-01 1.500000e+00 7.475491e-04 1.136454e+00
1.953125e-01 1.593750e+00 8.741708e-04 1.135893e+00
1.953125e-01 1.687500e+00 1.018635e-03 1.135406e+00
1.953125e-01 1.781250e+00 1.168951e-03 1.135499e+00
1.953125e-01 1.875000e+00 1.324691e-03 1.135561e+00
1.953125e-01 1.968750e+00 1.486848e-03 1.135559e+00
1.953125e-01 2.062500e+00 1.653574e-03 1.135544e+00
1.953125e-01 2.156250e+00 1.822753e-03 1.135551e+00
1.953125e-01 2.250000e+00 1.992679e-03 1.135546e+00
1.953125e-01 2.343750e+00 2.161469e-03 1.135551e+00
1.953125e-01 2.437500e+00 2.327188e-03 1.135547e+00
1.953125e-01 2.531250e+00 2.487809e-03 1.135550e+00
1.953125e-01 2.625000e+00 2.641362e-03 1.135548e+00
1.953125e-01 2.718750e+00 2.785846e-03 1.135550e+00
1.953125e-01 2.812500e+00 2.919359e-03 1.135548e+00
1.953125e-01 2.906250e+00 3.040045e-03 1.135549e+00
1.953125e-01 3.000000e+00 3.146183e-03 1.135549e+00
1.953125e-01 3.093750e+00 3.236179e-03 1.135548e+00
1.953125e-01 3.187500e+00 3.308604e-03 1.135549e+00
1.953125e-01 3.281250e+00 3.362233e-03 1.135548e+00
1.953125e-01 3.375000e+00 3.396030e-03 1.135550e+00
1.953125e-01 3.468750e+00 3.409229e-03 1.135547e+00
1.953125e-01 3.562500e+00 3.401265e-03 1.135550e+00
1.953125e-01 3.656250e+00 3.371904e-03 1.135547e+00
1.953125e-01 3.750000e+00 3.321118e-03 1.135551e+00
1.953125e-01 3.843750e+00 3.249271e-03 1.135545e+00
1.953125e-01 3.937500e+00 3.156810e-03 1.135550e+00
1.953125e-01 4.031250e+00 3.044520e-03 1.135551e+00
1.953125e-01 4.125000e+00 2.914269e-03 1.135569e+00
1.953125e-01 4.218750e+00 2.768562e-03 1.135493e+00
1.953125e-01 4.312500e+00 2.603383e-03 1.135410e+00
1.953125e-01 4.406250e+00 2.417022e-03 1.135859e+00
1.953125e-01 4.500000e+00 2.241421e-03 1.136498e+00
1.953125e-01 4.593750e+00 2.082994e-03 1.134323e+00
1.953125e-01 4.687500e+00 1.841284e-03 1.131242e+00
1.953125e-01 4.781250e+00 1.555909e-03 1.137176e+00
1.953125e-01 4.875000e+00 1.416239e-03 1.146427e+00
1.953125e-01 4.968750e+00 1.265514e-03 1.143667e+00
1.953125e-01 5.062500e+00 1.083724e-03 1.135099e+00
1.953125e-01 5.156250e+00 9.954184e-04 1.106338e+00
1.953125e-01 5.250000e+00 6.541391e-04 1.072380e+00
1.953125e-01 5.343750e+00 4.040904e-04 1.093456e+00
1.953125e-01 5.437500e+00 2.645898e-04 1.137672e+00
1.953125e-01 5.531250e+00 1.021939e-04 1.292112e+00
1.953125e-01 5.625000e+00 1.126794e-04 1.488848e+00
1.953125e-01 5.718750e+00 4.999949e-05 -1.406099e+00
1.953125e-01 5.812500e+00 1.067505e-04 -1.244131e+00
1.953125e-01 5.906250e+00 6.105204e-05 -1.126913e+00
1.953125e-01 6.000000e+00 1.061269e-04 -1.144376e+00
2.929688e-01 9.375000e-02 -1.252592e-06 -8.959358e-01
2.929688e-01 1.875000e-01 -1.008613e-06 -1.049328e+00
2.929688e-01 2.812500e-01 -7.132593e-06 -1.206779e+00
2.929688e-01 3.750000e-01 -5.836190e-06 -1.420462e+00
2.929688e-01 4.687500e-01 -2.130709e-05 1.568090e+00
2.929688e-01 5.625000e-01 -2.803583e-05 1.425775e+00
2.929688e-01 6.562500e-01 -5.469080e-05 1.385052e+00
2.929688e-01 7.500000e-01 -8.542801e-05 1.355771e+00
2.929688e-01 8.437500e-01 -9.539534e-05 1.383307e+00
2.929688e-01 9.375000e-01 -1.699880e-04 1.410960e+00
2.929688e-01 1.031250e+00 -2.251447e-04 1.419707e+00
2.929688e-01 1.125000e+00 -2.975045e-04 1.424060e+00
2.929688e-01 1.218750e+00 -3.961553e-04 1.415742e+00
2.929688e-01 1.312500e+00 -4.572764e-04 1.409191e+00
2.929688e-01 1.406250e+00 -5.420528e-04 1.411954e+00
2.929688e-01 1.500000e+00 -6.676679e-04 1.414225e+00
2.929688e-01 1.593750e+00 -7.893661e-04 1.413682e+00
2.929688e-01 1.687500e+00 -9.090091e-04 1.413196e+00
2.929688e-01 1.781250e+00 -1.041297e-03 1.413286e+00
2.929688e-01 1.875000e+00 -1.182310e-03 1.413347e+00
2.929688e-01 1.968750e+00 -1.327354e-03 1.413346e+00
2.929688e-01 2.062500e+00 -1.475816e-03 1.413331e+00
2.929688e-01 2.156250e+00 -1.626796e-03 1.413338e+00
2.929688e-01 2.250000e+00 -1.778474e-03 1.413334e+00
2.929688e-01 2.343750e+00 -1.929144e-03 1.413338e+00
2.929688e-01 2.437500e+00 -2.077028e-03 1.413334e+00
2.929688e-01 2.531250e+00 -2.220400e-03 1.413337e+00
2.929688e-01 2.625000e+00 -2.357433e-03 1.413335e+00
2.929688e-01 2.718750e+00 -2.486398e-03 1.413337e+00
2.929688e-01 2.812500e+00 -2.605551e-03 1.413335e+00
2.929688e-01 2.906250e+00 -2.713270e-03 1.413336e+00
2.929688e-01 3.000000e+00 -2.807997e-03 1.413336e+00
2.929688e-01 3.093750e+00 -2.888317e-03 1.413336e+00
2.929688e-01 3.187500e+00 -2.952963e-03 1.413336e+00
2.929688e-01 3.281250e+00 -3.000818e-03 1.413335e+00
2.929688e-01 3.375000e+00 -3.030996e-03 1.413337e+00
2.929688e-01 3.468750e+00 -3.042757e-03 1.413334e+00
2.929688e-01 3.562500e+00 -3.035672e-03 1.413338e+00
2.929688e-01 3.656250e+00 -3.009446e-03 1.413334e+00
2.929688e-01 3.750000e+00 -2.964146e-03 1.413338e+00
2.929688e-01 3.843750e+00 -2.899917e-03 1.413333e+00
2.929688e-01 3.937500e+00 -2.817486e-03 1.413337e+00
2.929688e-01 4.031250e+00 -2.717887e-03 1.413339e+00
2.929688e-01 4.125000e+00 -2.601189e-03 1.413356e+00
2.929688e-01 4.218750e+00 -2.466198e-03 1.413280e+00
2.929688e-01 4.312500e+00 -2.322508e-03 1.413196e+00
2.929688e-01 4.406250e+00 -2.182343e-03 1.413645e+00
2.929688e-01 4.500000e+00 -2.005914e-03 1.414295e+00
2.929688e-01 4.593750e+00 -1.770502e-03 1.412119e+00
2.929688e-01 4.687500e+00 -1.623192e-03 1.408967e+00
2.929688e-01 4.781250e+00 -1.555021e-03 1.414899e+00
2.929688e-01 4.875000e+00 -1.308092e-03 1.424500e+00
2.929688e-01 4.968750e+00 -1.081988e-03 1.421778e+00
2.929688e-01 5.062500e+00 -9.097527e-04 1.412143e+00
2.929688e-01 5.156250e+00 -5.834452e-04 1.383031e+00
2.929688e-01 5.250000e+00 -5.733828e-04 1.350411e+00
2.929688e-01 5.343750e+00 -4.510785e-04 1.372740e+00
2.929688e-01 5.437500e+00 -2.770899e-04 1.419615e+00
2.929688e-01 5.531250e+00 -2.492696e-04 -1.567652e+00
2.929688e-01 5.625000e+00 -9.298643e-05 -1.377993e+00
2.929688e-01 5.718750e+00 -1.289508e-04 -1.147404e+00
2.929688e-01 5.812500e+00 -4.331577e-05 -9.941819e-01
2.929688e-01 5.906250e+00 -9.519332e-05 -8.654242e-01
2.929688e-01 6.000000e+00 4.324432e-07 -8.769738e-01
3.906250e-01 9.375000e-02 -4.497568e-07 -1.005570e+00
3.906250e-01 1.875000e-01 6.506789e-06 -1.156549e+00
3.906250e-01 2.812500e-01 -1.516934e-06 -1.299151e+00
3.906250e-01 3.750000e-01 1.103113e-05 -1.505002e+00
3.906250e-01 4.687500e-01 -1.140918e-05 1.476191e+00
3.906250e-01 5.625000e-01 2.091437e-05 1.332394e+00
3.906250e-01 6.562500e-01 3.165955e-05 1.292008e+00
3.906250e-01 7.500000e-01 8.285486e-05 1.263513e+00
3.906250e-01 8.437500e-01 2.243500e-04 1.292072e+00
3.906250e-01 9.375000e-01 2.048920e-04 1.319488e+00
3.906250e-01 1.031250e+00 2.675387e-04 1.327989e+00
3.906250e-01 1.125000e+00 3.107052e-04 1.332375e+00
3.906250e-01 1.218750e+00 3.231622e-04 1.323995e+00
3.906250e-01 1.312500e+00 4.976479e-04 1.317440e+00
3.906250e-01 1.406250e+00 6.509624e-04 1.320247e+00
3.906250e-01 1.500000e+00 7.189713e-04 1.322520e+00
3.906250e-01 1.593750e+00 8.291386e-04 1.321965e+00
3.906250e-01 1.687500e+00 9.807595e-04 1.321479e+00
3.906250e-01 1.781250e+00 1.127980e-03 1.321570e+00
3.906250e-01 1.875000e+00 1.275184e-03 1.321632e+00
