x y z value
9.765625e-02 9.375000e-02 -2.571520e-07 -1.435977e+00
9.765625e-02 1.875000e-01 -6.141748e-07 -1.484425e+00
9.765625e-02 2.812500e-01 -1.425087e-06 -1.508219e+00
9.765625e-02 3.750000e-01 -2.235952e-06 1.535618e+00
9.765625e-02 4.687500e-01 -3.704743e-06 1.472491e+00
9.765625e-02 5.625000e-01 -5.379720e-06 1.355624e+00
9.765625e-02 6.562500e-01 -8.170584e-06 1.273196e+00
9.765625e-02 7.500000e-01 -1.178751e-05 1.165133e+00
9.765625e-02 8.437500e-01 -1.730208e-05 1.102797e+00
9.765625e-02 9.375000e-01 -2.480197e-05 1.037192e+00
9.765625e-02 1.031250e+00 -3.467732e-05 1.015401e+00
9.765625e-02 1.125000e+00 -4.798875e-05 9.980150e-01
9.765625e-02 1.218750e+00 -6.256275e-05 1.006768e+00
9.765625e-02 1.312500e+00 -8.124226e-05 1.022433e+00
9.765625e-02 1.406250e+00 -9.882542e-05 1.040409e+00
9.765625e-02 1.500000e+00 -1.186903e-04 1.064718e+00
9.765625e-02 1.593750e+00 -1.377217e-04 1.072704e+00
9.765625e-02 1.687500e+00 -1.557366e-04 1.079540e+00
9.765625e-02 1.781250e+00 -1.773861e-04 1.071797e+00
9.765625e-02 1.875000e+00 -1.981875e-04 1.057408e+00
9.765625e-02 1.968750e+00 -2.238813e-04 1.051306e+00
9.765625e-02 2.062500e+00 -2.522310e-04 1.045655e+00
9.765625e-02 2.156250e+00 -2.784139e-04 1.051773e+00
9.765625e-02 2.250000e+00 -3.062700e-04 1.062394e+00
9.765625e-02 2.343750e+00 -3.315366e-04 1.062697e+00
9.765625e-02 2.437500e+00 -3.538735e-04 1.059593e+00
9.765625e-02 2.531250e+00 -3.782839e-04 1.056597e+00
9.765625e-02 2.625000e+00 -4.026155e-04 1.054449e+00
9.765625e-02 2.718750e+00 -4.250762e-04 1.056876e+00
9.765625e-02 2.812500e+00 -4.460084e-04 1.059566e+00
9.765625e-02 2.906250e+00 -4.639110e-04 1.058012e+00
9.765625e-02 3.000000e+00 -4.791788e-04 1.056157e+00
9.765625e-02 3.093750e+00 -4.934617e-04 1.057767e+00
9.765625e-02 3.187500e+00 -5.055613e-04 1.059549e+00
9.765625e-02 3.281250e+00 -5.136883e-04 1.057335e+00
9.765625e-02 3.375000e+00 -5.176067e-04 1.054601e+00
9.765625e-02 3.468750e+00 -5.174900e-04 1.055911e+00
9.765625e-02 3.562500e+00 -5.169209e-04 1.059020e+00
9.765625e-02 3.656250e+00 -5.175240e-04 1.063023e+00
9.765625e-02 3.750000e+00 -5.110563e-04 1.063420e+00
9.765625e-02 3.843750e+00 -4.974498e-04 1.053012e+00
9.765625e-02 3.937500e+00 -4.816502e-04 1.045233e+00
9.765625e-02 4.031250e+00 -4.572994e-04 1.049017e+00
9.765625e-02 4.125000e+00 -4.346544e-04 1.055539e+00
9.765625e-02 4.218750e+00 -4.184224e-04 1.071030e+00
9.765625e-02 4.312500e+00 -3.978357e-04 1.081287e+00
9.765625e-02 4.406250e+00 -3.821280e-04 1.076877e+00
9.765625e-02 4.500000e+00 -3.584123e-04 1.068384e+00
9.765625e-02 4.593750e+00 -3.261585e-04 1.043406e+00
9.765625e-02 4.687500e+00 -2.922882e-04 1.021543e+00
9.765625e-02 4.781250e+00 -2.465607e-04 1.001814e+00
9.765625e-02 4.875000e+00 -2.069308e-04 9.890060e-01
