x y z value
9.765625e-02 9.375000e-02 -2.098663e-07 -8.509679e-01
9.765625e-02 1.875000e-01 -3.622666e-07 -9.716223e-01
9.765625e-02 2.812500e-01 -4.500578e-07 -1.008730e+00
9.765625e-02 3.750000e-01 -7.247002e-07 -1.157366e+00
9.765625e-02 4.687500e-01 -9.599831e-07 -1.255257e+00
9.765625e-02 5.625000e-01 -1.806555e-06 -1.403674e+00
9.765625e-02 6.562500e-01 -2.579820e-06 -1.489031e+00
9.765625e-02 7.500000e-01 -5.103176e-06 1.567444e+00
9.765625e-02 8.437500e-01 -6.534015e-06 1.536885e+00
9.765625e-02 9.375000e-01 -1.157774e-05 1.524756e+00
9.765625e-02 1.031250e+00 -1.354996e-05 1.532632e+00
9.765625e-02 1.125000e+00 -1.916735e-05 1.560120e+00
9.765625e-02 1.218750e+00 -2.431794e-05 -1.566587e+00
9.765625e-02 1.312500e+00 -2.794986e-05 -1.548205e+00
9.765625e-02 1.406250e+00 -3.826376e-05 -1.548229e+00
9.765625e-02 1.500000e+00 -4.435191e-05 -1.562821e+00
9.765625e-02 1.593750e+00 -5.033724e-05 -1.568808e+00
9.765625e-02 1.687500e+00 -5.891851e-05 -1.570580e+00
9.765625e-02 1.781250e+00 -6.541577e-05 -1.567515e+00
9.765625e-02 1.875000e+00 -7.551957e-05 -1.562169e+00
9.765625e-02 1.968750e+00 -8.759780e-05 -1.562932e+00
9.765625e-02 2.062500e+00 -9.588195e-05 -1.565777e+00
9.765625e-02 2.156250e+00 -1.041845e-04 -1.565762e+00
9.765625e-02 2.250000e+00 -1.146306e-04 -1.564785e+00
9.765625e-02 2.343750e+00 -1.249330e-04 -1.564786e+00
9.765625e-02 2.437500e+00 -1.342183e-04 -1.564989e+00
9.765625e-02 2.531250e+00 -1.433665e-04 -1.565019e+00
9.765625e-02 2.625000e+00 -1.522538e-04 -1.564961e+00
9.765625e-02 2.718750e+00 -1.606324e-04 -1.564971e+00
9.765625e-02 2.812500e+00 -1.683030e-04 -1.564969e+00
9.765625e-02 2.906250e+00 -1.752658e-04 -1.564974e+00
9.765625e-02 3.000000e+00 -1.813828e-04 -1.564972e+00
9.765625e-02 3.093750e+00 -1.865663e-04 -1.564971e+00
9.765625e-02 3.187500e+00 -1.907570e-04 -1.564976e+00
9.765625e-02 3.281250e+00 -1.938466e-04 -1.564961e+00
9.765625e-02 3.375000e+00 -1.957860e-04 -1.564974e+00
9.765625e-02 3.468750e+00 -1.964204e-04 -1.565001e+00
9.765625e-02 3.562500e+00 -1.961954e-04 -1.565018e+00
9.765625e-02 3.656250e+00 -1.948913e-04 -1.564766e+00
9.765625e-02 3.750000e+00 -1.911734e-04 -1.564768e+00
9.765625e-02 3.843750e+00 -1.854451e-04 -1.565696e+00
9.765625e-02 3.937500e+00 -1.829011e-04 -1.565991e+00
9.765625e-02 4.031250e+00 -1.799728e-04 -1.563056e+00
9.765625e-02 4.125000e+00 -1.667315e-04 -1.561727e+00
9.765625e-02 4.218750e+00 -1.533228e-04 -1.566895e+00
9.765625e-02 4.312500e+00 -1.499884e-04 1.570279e+00
9.765625e-02 4.406250e+00 -1.407861e-04 -1.569892e+00
9.765625e-02 4.500000e+00 -1.332155e-04 -1.563422e+00
9.765625e-02 4.593750e+00 -1.252702e-04 -1.547804e+00
9.765625e-02 4.687500e+00 -1.007507e-04 -1.545081e+00
9.765625e-02 4.781250e+00 -9.222641e-05 -1.562926e+00
9.765625e-02 4.875000e+00 -8.246272e-05 1.559833e+00
9.765625e-02 4.968750e+00 -6.545499e-05 1.529951e+00
9.765625e-02 5.062500e+00 -6.238143e-05 1.515607e+00
9.765625e-02 5.156250e+00 -4.245256e-05 1.525179e+00
9.765625e-02 5.250000e+00 -3.590776e-05 1.557396e+00
9.765625e-02 5.343750e+00 -2.222233e-05 -1.491616e+00
9.765625e-02 5.437500e+00 -1.689361e-05 -1.385187e+00
9.765625e-02 5.531250e+00 -1.088528e-05 -1.217388e+00
9.765625e-02 5.625000e+00 -9.973732e-06 -1.095441e+00
9.765625e-02 5.718750e+00 -8.317239e-06 -9.473699e-01
9.765625e-02 5.812500e+00 -9.997604e-06 -9.029738e-01
9.765625e-02 5.906250e+00 -1.051180e-05 -8.249397e-01
9.765625e-02 6.000000e+00 -1.369051e-05 -8.769820e-01
1.953125e-01 9.375000e-02 1.049973e-06 -1.241624e+00
1.953125e-01 1.875000e-01 2.711077e-06 -1.346923e+00
1.953125e-01 2.812500e-01 3.637823e-06 -1.399647e+00
1.953125e-01 3.750000e-01 5.524042e-06 -1.566386e+00
1.953125e-01 4.687500e-01 8.251076e-06 1.465987e+00
1.953125e-01 5.625000e-01 1.299089e-05 1.307350e+00
1.953125e-01 6.562500e-01 2.398660e-05 1.219273e+00
1.953125e-01 7.500000e-01 3.712920e-05 1.132260e+00
1.953125e-01 8.437500e-01 7.209909e-05 1.104642e+00
1.953125e-01 9.375000e-01 9.811957e-05 1.093577e+00
1.953125e-01 1.031250e+00 1.631540e-04 1.104084e+00
1.953125e-01 1.125000e+00 2.039379e-04 1.132552e+00
1.953125e-01 1.218750e+00 2.559488e-04 1.147451e+00
1.953125e-01 1.312500e+00 3.145744e-04 1.165901e+00
1.953125e-01 1.406250e+00 3.287999e-04 1.164579e+00
1.953125e-01 1.500000e+00 4.017601e-04 1.149541e+00
1.953125e-01 1.593750e+00 4.930094e-04 1.144163e+00
1.953125e-01 1.687500e+00 5.749225e-04 1.142504e+00
1.953125e-01 1.781250e+00 6.814766e-04 1.145524e+00
1.953125e-01 1.875000e+00 7.610939e-04 1.150913e+00
1.953125e-01 1.968750e+00 8.265855e-04 1.150092e+00
1.953125e-01 2.062500e+00 9.292937e-04 1.147207e+00
1.953125e-01 2.156250e+00 1.038729e-03 1.147253e+00
1.953125e-01 2.250000e+00 1.131213e-03 1.148245e+00
1.953125e-01 2.343750e+00 1.221715e-03 1.148235e+00
1.953125e-01 2.437500e+00 1.317088e-03 1.148028e+00
1.953125e-01 2.531250e+00 1.409078e-03 1.148000e+00
1.953125e-01 2.625000e+00 1.495865e-03 1.148058e+00
1.953125e-01 2.718750e+00 1.577298e-03 1.148049e+00
1.953125e-01 2.812500e+00 1.653061e-03 1.148051e+00
1.953125e-01 2.906250e+00 1.721372e-03 1.148045e+00
1.953125e-01 3.000000e+00 1.781488e-03 1.148048e+00
1.953125e-01 3.093750e+00 1.832475e-03 1.148049e+00
1.953125e-01 3.187500e+00 1.873375e-03 1.148044e+00
1.953125e-01 3.281250e+00 1.903782e-03 1.148059e+00
1.953125e-01 3.375000e+00 1.923037e-03 1.148046e+00
1.953125e-01 3.468750e+00 1.931215e-03 1.148018e+00
1.953125e-01 3.562500e+00 1.924781e-03 1.148003e+00
1.953125e-01 3.656250e+00 1.906209e-03 1.148252e+00
1.953125e-01 3.750000e+00 1.884418e-03 1.148242e+00
1.953125e-01 3.843750e+00 1.852182e-03 1.147327e+00
1.953125e-01 3.937500e+00 1.775488e-03 1.147076e+00
1.953125e-01 4.031250e+00 1.692968e-03 1.149955e+00
1.953125e-01 4.125000e+00 1.669255e-03 1.151100e+00
