x y z value
9.765625e-02 9.375000e-02 9.583932e-07 -1.379131e+00
9.765625e-02 1.875000e-01 1.912949e-06 -1.453550e+00
9.765625e-02 2.812500e-01 3.663657e-06 -1.480055e+00
9.765625e-02 3.750000e-01 5.490132e-06 -1.543836e+00
9.765625e-02 4.687500e-01 8.404429e-06 1.563076e+00
9.765625e-02 5.625000e-01 1.124764e-05 1.495958e+00
9.765625e-02 6.562500e-01 1.576811e-05 1.446754e+00
9.765625e-02 7.500000e-01 2.032164e-05 1.375059e+00
9.765625e-02 8.437500e-01 2.784030e-05 1.319458e+00
9.765625e-02 9.375000e-01 3.597285e-05 1.252069e+00
9.765625e-02 1.031250e+00 4.935478e-05 1.201005e+00
9.765625e-02 1.125000e+00 6.322514e-05 1.150993e+00
9.765625e-02 1.218750e+00 8.592076e-05 1.119902e+00
9.765625e-02 1.312500e+00 1.100979e-04 1.094731e+00
9.765625e-02 1.406250e+00 1.459390e-04 1.078351e+00
9.765625e-02 1.500000e+00 1.773249e-04 1.075106e+00
9.765625e-02 1.593750e+00 2.214817e-04 1.080843e+00
9.765625e-02 1.687500e+00 2.649200e-04 1.096688e+00
9.765625e-02 1.781250e+00 3.127287e-04 1.106889e+00
9.765625e-02 1.875000e+00 3.583477e-04 1.123698e+00
9.765625e-02 1.968750e+00 3.940395e-04 1.132018e+00
9.765625e-02 2.062500e+00 4.259528e-04 1.145790e+00
9.765625e-02 2.156250e+00 4.476993e-04 1.158554e+00
9.765625e-02 2.250000e+00 4.965662e-04 1.158030e+00
9.765625e-02 2.343750e+00 5.254602e-04 1.148550e+00
9.765625e-02 2.437500e+00 5.628091e-04 1.131383e+00
9.765625e-02 2.531250e+00 6.083696e-04 1.118343e+00
9.765625e-02 2.625000e+00 6.308089e-04 1.110987e+00
9.765625e-02 2.718750e+00 6.859760e-04 1.118486e+00
9.765625e-02 2.812500e+00 7.311288e-04 1.130032e+00
9.765625e-02 2.906250e+00 7.715029e-04 1.139374e+00
9.765625e-02 3.000000e+00 8.216618e-04 1.146882e+00
9.765625e-02 3.093750e+00 8.248660e-04 1.139858e+00
9.765625e-02 3.187500e+00 8.328895e-04 1.129870e+00
9.765625e-02 3.281250e+00 8.318680e-04 1.118637e+00
9.765625e-02 3.375000e+00 8.115171e-04 1.109979e+00
9.765625e-02 3.468750e+00 8.303737e-04 1.116410e+00
9.765625e-02 3.562500e+00 8.193384e-04 1.129917e+00
9.765625e-02 3.656250e+00 8.149720e-04 1.147733e+00
9.765625e-02 3.750000e+00 8.252049e-04 1.159556e+00
9.765625e-02 3.843750e+00 7.984553e-04 1.162178e+00
9.765625e-02 3.937500e+00 8.116610e-04 1.150126e+00
9.765625e-02 4.031250e+00 8.100124e-04 1.135270e+00
9.765625e-02 4.125000e+00 7.933013e-04 1.124698e+00
9.765625e-02 4.218750e+00 7.488471e-04 1.106372e+00
9.765625e-02 4.312500e+00 6.834848e-04 1.093209e+00
9.765625e-02 4.406250e+00 6.168352e-04 1.075718e+00
9.765625e-02 4.500000e+00 5.342892e-04 1.066735e+00
9.765625e-02 4.593750e+00 4.751917e-04 1.068831e+00
9.765625e-02 4.687500e+00 3.900298e-04 1.084765e+00
9.765625e-02 4.781250e+00 3.298496e-04 1.112182e+00
9.765625e-02 4.875000e+00 2.666132e-04 1.147523e+00
9.765625e-02 4.968750e+00 2.287193e-04 1.204067e+00
9.765625e-02 5.062500e+00 1.871093e-04 1.264889e+00
9.765625e-02 5.156250e+00 1.638758e-04 1.341941e+00
9.765625e-02 5.250000e+00 1.392154e-04 1.408895e+00
9.765625e-02 5.343750e+00 1.280129e-04 1.487433e+00
9.765625e-02 5.437500e+00 1.117603e-04 1.543751e+00
9.765625e-02 5.531250e+00 1.052745e-04 -1.531825e+00
9.765625e-02 5.625000e+00 9.079039e-05 -1.497763e+00
9.765625e-02 5.718750e+00 8.515170e-05 -1.446451e+00
9.765625e-02 5.812500e+00 6.971623e-05 -1.436362e+00
9.765625e-02 5.906250e+00 6.445933e-05 -1.385283e+00
9.765625e-02 6.000000e+00 5.709285e-05 -1.394490e+00
1.953125e-01 9.375000e-02 -7.195623e-07 -9.375362e-01
1.953125e-01 1.875000e-01 -2.199135e-06 -1.018887e+00
1.953125e-01 2.812500e-01 -3.323916e-06 -1.034901e+00
1.953125e-01 3.750000e-01 -5.340431e-06 -1.076347e+00
1.953125e-01 4.687500e-01 -7.097599e-06 -1.100262e+00
1.953125e-01 5.625000e-01 -1.027462e-05 -1.154888e+00
1.953125e-01 6.562500e-01 -1.288135e-05 -1.195787e+00
1.953125e-01 7.500000e-01 -1.775690e-05 -1.256735e+00
1.953125e-01 8.437500e-01 -2.215235e-05 -1.305350e+00
1.953125e-01 9.375000e-01 -3.023911e-05 -1.364462e+00
1.953125e-01 1.031250e+00 -3.812349e-05 -1.411690e+00
1.953125e-01 1.125000e+00 -5.230106e-05 -1.457535e+00
1.953125e-01 1.218750e+00 -6.668400e-05 -1.488376e+00
1.953125e-01 1.312500e+00 -8.885489e-05 -1.512659e+00
1.953125e-01 1.406250e+00 -1.103337e-04 -1.531192e+00
1.953125e-01 1.500000e+00 -1.424208e-04 -1.536068e+00
1.953125e-01 1.593750e+00 -1.735126e-04 -1.532513e+00
1.953125e-01 1.687500e+00 -2.082619e-04 -1.517654e+00
1.953125e-01 1.781250e+00 -2.427680e-04 -1.509242e+00
1.953125e-01 1.875000e+00 -2.751593e-04 -1.494624e+00
1.953125e-01 1.968750e+00 -3.100885e-04 -1.486205e+00
1.953125e-01 2.062500e+00 -3.358453e-04 -1.471811e+00
1.953125e-01 2.156250e+00 -3.682474e-04 -1.457996e+00
1.953125e-01 2.250000e+00 -3.862251e-04 -1.457970e+00
1.953125e-01 2.343750e+00 -4.181925e-04 -1.466643e+00
1.953125e-01 2.437500e+00 -4.496886e-04 -1.483644e+00
1.953125e-01 2.531250e+00 -4.752651e-04 -1.496467e+00
1.953125e-01 2.625000e+00 -5.188548e-04 -1.503114e+00
1.953125e-01 2.718750e+00 -5.439841e-04 -1.496391e+00
1.953125e-01 2.812500e+00 -5.776392e-04 -1.485158e+00
1.953125e-01 2.906250e+00 -6.110570e-04 -1.476607e+00
1.953125e-01 3.000000e+00 -6.240185e-04 -1.470166e+00
1.953125e-01 3.093750e+00 -6.508773e-04 -1.476645e+00
1.953125e-01 3.187500e+00 -6.563088e-04 -1.486464e+00
1.953125e-01 3.281250e+00 -6.569610e-04 -1.496864e+00
1.953125e-01 3.375000e+00 -6.678964e-04 -1.504442e+00
1.953125e-01 3.468750e+00 -6.524714e-04 -1.498277e+00
1.953125e-01 3.562500e+00 -6.555092e-04 -1.484394e+00
1.953125e-01 3.656250e+00 -6.527633e-04 -1.466964e+00
1.953125e-01 3.750000e+00 -6.407119e-04 -1.455789e+00
1.953125e-01 3.843750e+00 -6.514834e-04 -1.453589e+00
1.953125e-01 3.937500e+00 -6.413762e-04 -1.466770e+00
1.953125e-01 4.031250e+00 -6.334131e-04 -1.482633e+00
1.953125e-01 4.125000e+00 -6.098881e-04 -1.494024e+00
1.953125e-01 4.218750e+00 -5.802666e-04 -1.511208e+00
1.953125e-01 4.312500e+00 -5.378200e-04 -1.523361e+00
