x y z value
9.765625e-02 9.375000e-02 -1.018184e-07 -1.391677e+00
9.765625e-02 1.875000e-01 -2.528445e-07 -1.408664e+00
9.765625e-02 2.812500e-01 -8.957012e-07 -1.555357e+00
9.765625e-02 3.750000e-01 -1.299254e-06 1.475920e+00
9.765625e-02 4.687500e-01 -2.723381e-06 1.300631e+00
9.765625e-02 5.625000e-01 -3.830900e-06 1.173037e+00
9.765625e-02 6.562500e-01 -7.119490e-06 1.052624e+00
9.765625e-02 7.500000e-01 -9.672218e-06 9.862173e-01
9.765625e-02 8.437500e-01 -1.631980e-05 9.592555e-01
9.765625e-02 9.375000e-01 -2.160321e-05 9.513470e-01
9.765625e-02 1.031250e+00 -3.069489e-05 9.793973e-01
9.765625e-02 1.125000e+00 -4.139260e-05 9.962199e-01
9.765625e-02 1.218750e+00 -5.014652e-05 1.020514e+00
9.765625e-02 1.312500e+00 -6.561907e-05 1.030031e+00
9.765625e-02 1.406250e+00 -7.827347e-05 1.016715e+00
9.765625e-02 1.500000e+00 -9.048620e-05 1.008807e+00
9.765625e-02 1.593750e+00 -1.078676e-04 1.004733e+00
9.765625e-02 1.687500e+00 -1.239053e-04 1.005161e+00
9.765625e-02 1.781250e+00 -1.423172e-04 1.011146e+00
9.765625e-02 1.875000e+00 -1.636780e-04 1.012335e+00
9.765625e-02 1.968750e+00 -1.831594e-04 1.009622e+00
9.765625e-02 2.062500e+00 -2.022075e-04 1.008895e+00
9.765625e-02 2.156250e+00 -2.233323e-04 1.009752e+00
9.765625e-02 2.250000e+00 -2.446074e-04 1.009922e+00
9.765625e-02 2.343750e+00 -2.652563e-04 1.009777e+00
9.765625e-02 2.437500e+00 -2.854073e-04 1.009705e+00
9.765625e-02 2.531250e+00 -3.051845e-04 1.009758e+00
9.765625e-02 2.625000e+00 -3.240063e-04 1.009747e+00
9.765625e-02 2.718750e+00 -3.417573e-04 1.009757e+00
9.765625e-02 2.812500e+00 -3.581073e-04 1.009746e+00
9.765625e-02 2.906250e+00 -3.729277e-04 1.009753e+00
9.765625e-02 3.000000e+00 -3.859431e-04 1.009751e+00
9.765625e-02 3.093750e+00 -3.969768e-04 1.009749e+00
9.765625e-02 3.187500e+00 -4.058769e-04 1.009754e+00
9.765625e-02 3.281250e+00 -4.124315e-04 1.009745e+00
9.765625e-02 3.375000e+00 -4.166251e-04 1.009763e+00
9.765625e-02 3.468750e+00 -4.181617e-04 1.009738e+00
9.765625e-02 3.562500e+00 -4.172047e-04 1.009731e+00
9.765625e-02 3.656250e+00 -4.136941e-04 1.009742e+00
9.765625e-02 3.750000e+00 -4.077636e-04 1.009949e+00
9.765625e-02 3.843750e+00 -3.981295e-04 1.009742e+00
9.765625e-02 3.937500e+00 -3.862022e-04 1.008978e+00
9.765625e-02 4.031250e+00 -3.744741e-04 1.009448e+00
9.765625e-02 4.125000e+00 -3.599786e-04 1.012213e+00
9.765625e-02 4.218750e+00 -3.380284e-04 1.011438e+00
9.765625e-02 4.312500e+00 -3.175645e-04 1.005836e+00
9.765625e-02 4.406250e+00 -2.966827e-04 1.004184e+00
9.765625e-02 4.500000e+00 -2.702523e-04 1.007600e+00
9.765625e-02 4.593750e+00 -2.552239e-04 1.015914e+00
9.765625e-02 4.687500e+00 -2.352227e-04 1.030903e+00
9.765625e-02 4.781250e+00 -1.991650e-04 1.023818e+00
9.765625e-02 4.875000e+00 -1.809781e-04 9.996525e-01
9.765625e-02 4.968750e+00 -1.483792e-04 9.787878e-01
9.765625e-02 5.062500e+00 -1.165284e-04 9.477008e-01
9.765625e-02 5.156250e+00 -9.702744e-05 9.486031e-01
9.765625e-02 5.250000e+00 -6.572352e-05 9.740773e-01
9.765625e-02 5.343750e+00 -5.471290e-05 1.042928e+00
9.765625e-02 5.437500e+00 -3.560531e-05 1.176766e+00
9.765625e-02 5.531250e+00 -3.106653e-05 1.327597e+00
9.765625e-02 5.625000e+00 -2.034186e-05 1.520497e+00
9.765625e-02 5.718750e+00 -1.995847e-05 -1.498492e+00
9.765625e-02 5.812500e+00 -1.135464e-05 -1.369869e+00
9.765625e-02 5.906250e+00 -1.155275e-05 -1.349159e+00
9.765625e-02 6.000000e+00 -1.970241e-06 -1.310435e+00
1.953125e-01 9.375000e-02 8.318520e-07 -9.907460e-01
1.953125e-01 1.875000e-01 2.965665e-06 -1.035627e+00
1.953125e-01 2.812500e-01 3.394746e-06 -1.186439e+00
1.953125e-01 3.750000e-01 8.882257e-06 -1.294823e+00
1.953125e-01 4.687500e-01 1.059137e-05 -1.454416e+00
1.953125e-01 5.625000e-01 2.347117e-05 1.569227e+00
1.953125e-01 6.562500e-01 3.160735e-05 1.460263e+00
1.953125e-01 7.500000e-01 6.569052e-05 1.397728e+00
1.953125e-01 8.437500e-01 9.237333e-05 1.372180e+00
1.953125e-01 9.375000e-01 1.569680e-04 1.363868e+00
1.953125e-01 1.031250e+00 2.182584e-04 1.389329e+00
