x y z value
9.765625e-02 9.375000e-02 -3.253221e-07 -1.474345e+00
9.765625e-02 1.875000e-01 -9.036262e-07 -1.488135e+00
9.765625e-02 2.812500e-01 -1.684836e-06 -1.492318e+00
9.765625e-02 3.750000e-01 -2.868376e-06 -1.544492e+00
9.765625e-02 4.687500e-01 -4.249686e-06 1.557872e+00
9.765625e-02 5.625000e-01 -6.256185e-06 1.491000e+00
9.765625e-02 6.562500e-01 -8.648523e-06 1.428340e+00
9.765625e-02 7.500000e-01 -1.211593e-05 1.352132e+00
9.765625e-02 8.437500e-01 -1.649309e-05 1.281866e+00
9.765625e-02 9.375000e-01 -2.276580e-05 1.215462e+00
9.765625e-02 1.031250e+00 -3.079012e-05 1.159345e+00
9.765625e-02 1.125000e+00 -4.172028e-05 1.121217e+00
9.765625e-02 1.218750e+00 -5.516429e-05 1.091699e+00
9.765625e-02 1.312500e+00 -7.197940e-05 1.085322e+00
9.765625e-02 1.406250e+00 -9.130678e-05 1.080960e+00
9.765625e-02 1.500000e+00 -1.129108e-04 1.096464e+00
9.765625e-02 1.593750e+00 -1.358668e-04 1.108108e+00
9.765625e-02 1.687500e+00 -1.584653e-04 1.129476e+00
9.765625e-02 1.781250e+00 -1.809633e-04 1.145428e+00
9.765625e-02 1.875000e+00 -2.013895e-04 1.155888e+00
9.765625e-02 1.968750e+00 -2.212670e-04 1.161991e+00
9.765625e-02 2.062500e+00 -2.408580e-04 1.154574e+00
9.765625e-02 2.156250e+00 -2.625207e-04 1.149390e+00
9.765625e-02 2.250000e+00 -2.881358e-04 1.135639e+00
9.765625e-02 2.343750e+00 -3.151261e-04 1.124461e+00
9.765625e-02 2.437500e+00 -3.430022e-04 1.124668e+00
9.765625e-02 2.531250e+00 -3.704009e-04 1.129171e+00
9.765625e-02 2.625000e+00 -3.957926e-04 1.142434e+00
9.765625e-02 2.718750e+00 -4.172031e-04 1.149845e+00
9.765625e-02 2.812500e+00 -4.327796e-04 1.144211e+00
9.765625e-02 2.906250e+00 -4.449990e-04 1.134940e+00
9.765625e-02 3.000000e+00 -4.573011e-04 1.129228e+00
9.765625e-02 3.093750e+00 -4.724085e-04 1.133641e+00
9.765625e-02 3.187500e+00 -4.897592e-04 1.143936e+00
9.765625e-02 3.281250e+00 -5.033545e-04 1.150473e+00
9.765625e-02 3.375000e+00 -5.097547e-04 1.144166e+00
9.765625e-02 3.468750e+00 -5.094518e-04 1.131068e+00
9.765625e-02 3.562500e+00 -5.022718e-04 1.123731e+00
9.765625e-02 3.656250e+00 -4.911682e-04 1.121687e+00
9.765625e-02 3.750000e+00 -4.784947e-04 1.132469e+00
9.765625e-02 3.843750e+00 -4.658263e-04 1.147731e+00
9.765625e-02 3.937500e+00 -4.581613e-04 1.155710e+00
9.765625e-02 4.031250e+00 -4.521236e-04 1.164811e+00
9.765625e-02 4.125000e+00 -4.441544e-04 1.160668e+00
9.765625e-02 4.218750e+00 -4.311800e-04 1.150242e+00
9.765625e-02 4.312500e+00 -4.086649e-04 1.132462e+00
9.765625e-02 4.406250e+00 -3.794507e-04 1.108884e+00
9.765625e-02 4.500000e+00 -3.415026e-04 1.092491e+00
9.765625e-02 4.593750e+00 -2.995936e-04 1.074040e+00
9.765625e-02 4.687500e+00 -2.561849e-04 1.073529e+00
9.765625e-02 4.781250e+00 -2.137628e-04 1.078704e+00
9.765625e-02 4.875000e+00 -1.764880e-04 1.107486e+00
9.765625e-02 4.968750e+00 -1.433934e-04 1.150122e+00
9.765625e-02 5.062500e+00 -1.178395e-04 1.214126e+00
9.765625e-02 5.156250e+00 -9.658757e-05 1.292649e+00
9.765625e-02 5.250000e+00 -8.184285e-05 1.378058e+00
9.765625e-02 5.343750e+00 -6.934803e-05 1.467023e+00
9.765625e-02 5.437500e+00 -6.122008e-05 1.542754e+00
9.765625e-02 5.531250e+00 -5.282618e-05 -1.528879e+00
9.765625e-02 5.625000e+00 -4.727435e-05 -1.484202e+00
9.765625e-02 5.718750e+00 -3.964515e-05 -1.442879e+00
9.765625e-02 5.812500e+00 -3.459932e-05 -1.435289e+00
9.765625e-02 5.906250e+00 -2.634313e-05 -1.421023e+00
9.765625e-02 6.000000e+00 -2.168318e-05 -1.488828e+00
1.953125e-01 9.375000e-02 2.226618e-06 -1.078686e+00
1.953125e-01 1.875000e-01 4.120682e-06 -1.120569e+00
1.953125e-01 2.812500e-01 8.758604e-06 -1.164305e+00
1.953125e-01 3.750000e-01 1.234992e-05 -1.232094e+00
1.953125e-01 4.687500e-01 2.140847e-05 -1.284502e+00
1.953125e-01 5.625000e-01 2.744555e-05 -1.358423e+00
1.953125e-01 6.562500e-01 4.252845e-05 -1.425299e+00
1.953125e-01 7.500000e-01 5.420099e-05 -1.501433e+00
1.953125e-01 8.437500e-01 8.108417e-05 -1.567958e+00
1.953125e-01 9.375000e-01 1.050684e-04 1.512364e+00
1.953125e-01 1.031250e+00 1.536128e-04 1.463291e+00
1.953125e-01 1.125000e+00 1.998173e-04 1.430138e+00
1.953125e-01 1.218750e+00 2.791120e-04 1.406130e+00
1.953125e-01 1.312500e+00 3.570007e-04 1.401716e+00
1.953125e-01 1.406250e+00 4.636388e-04 1.399748e+00
1.953125e-01 1.500000e+00 5.753365e-04 1.414566e+00
1.953125e-01 1.593750e+00 6.851002e-04 1.425915e+00
1.953125e-01 1.687500e+00 8.152505e-04 1.445520e+00
1.953125e-01 1.781250e+00 9.001317e-04 1.459678e+00
1.953125e-01 1.875000e+00 1.023954e-03 1.468885e+00
1.953125e-01 1.968750e+00 1.093659e-03 1.473445e+00
1.953125e-01 2.062500e+00 1.183642e-03 1.466487e+00
1.953125e-01 2.156250e+00 1.294712e-03 1.461735e+00
1.953125e-01 2.250000e+00 1.410935e-03 1.449015e+00
