x y z value
9.765625e-02 9.375000e-02 5.581172e-07 -8.539871e-01
9.765625e-02 1.875000e-01 1.366979e-06 -9.347876e-01
9.765625e-02 2.812500e-01 2.829256e-06 -9.410332e-01
9.765625e-02 3.750000e-01 4.731876e-06 -9.923451e-01
9.765625e-02 4.687500e-01 7.314641e-06 -1.021860e+00
9.765625e-02 5.625000e-01 1.013175e-05 -1.076704e+00
9.765625e-02 6.562500e-01 1.389196e-05 -1.106187e+00
9.765625e-02 7.500000e-01 1.902005e-05 -1.160136e+00
9.765625e-02 8.437500e-01 2.552465e-05 -1.208516e+00
9.765625e-02 9.375000e-01 3.278060e-05 -1.270318e+00
9.765625e-02 1.031250e+00 4.239270e-05 -1.314287e+00
9.765625e-02 1.125000e+00 5.353495e-05 -1.360794e+00
9.765625e-02 1.218750e+00 6.917842e-05 -1.386710e+00
9.765625e-02 1.312500e+00 8.998323e-05 -1.419452e+00
9.765625e-02 1.406250e+00 1.170752e-04 -1.449065e+00
9.765625e-02 1.500000e+00 1.404454e-04 -1.472095e+00
9.765625e-02 1.593750e+00 1.733748e-04 -1.476420e+00
9.765625e-02 1.687500e+00 2.042346e-04 -1.473189e+00
9.765625e-02 1.781250e+00 2.446425e-04 -1.459988e+00
9.765625e-02 1.875000e+00 2.883887e-04 -1.444796e+00
9.765625e-02 1.968750e+00 3.360700e-04 -1.439721e+00
9.765625e-02 2.062500e+00 3.715516e-04 -1.429075e+00
9.765625e-02 2.156250e+00 4.059639e-04 -1.424702e+00
9.765625e-02 2.250000e+00 4.275972e-04 -1.414402e+00
9.765625e-02 2.343750e+00 4.432808e-04 -1.403265e+00
9.765625e-02 2.437500e+00 4.742280e-04 -1.395867e+00
9.765625e-02 2.531250e+00 4.914495e-04 -1.393058e+00
9.765625e-02 2.625000e+00 5.357324e-04 -1.400441e+00
9.765625e-02 2.718750e+00 5.695274e-04 -1.413924e+00
9.765625e-02 2.812500e+00 6.053739e-04 -1.430704e+00
9.765625e-02 2.906250e+00 6.483821e-04 -1.443483e+00
9.765625e-02 3.000000e+00 6.595299e-04 -1.449897e+00
9.765625e-02 3.093750e+00 6.869997e-04 -1.445691e+00
9.765625e-02 3.187500e+00 6.830392e-04 -1.433556e+00
9.765625e-02 3.281250e+00 6.814738e-04 -1.417291e+00
9.765625e-02 3.375000e+00 6.862815e-04 -1.401733e+00
9.765625e-02 3.468750e+00 6.720342e-04 -1.392098e+00
9.765625e-02 3.562500e+00 6.929749e-04 -1.392538e+00
9.765625e-02 3.656250e+00 6.954770e-04 -1.398127e+00
9.765625e-02 3.750000e+00 7.139948e-04 -1.409648e+00
9.765625e-02 3.843750e+00 7.286919e-04 -1.421576e+00
9.765625e-02 3.937500e+00 7.136796e-04 -1.428765e+00
9.765625e-02 4.031250e+00 6.928818e-04 -1.442061e+00
9.765625e-02 4.125000e+00 6.410320e-04 -1.449954e+00
9.765625e-02 4.218750e+00 5.829418e-04 -1.465626e+00
9.765625e-02 4.312500e+00 5.232648e-04 -1.480784e+00
9.765625e-02 4.406250e+00 4.765801e-04 -1.484491e+00
9.765625e-02 4.500000e+00 4.159436e-04 -1.480766e+00
9.765625e-02 4.593750e+00 3.733610e-04 -1.457974e+00
9.765625e-02 4.687500e+00 3.143434e-04 -1.424705e+00
9.765625e-02 4.781250e+00 2.627497e-04 -1.386202e+00
9.765625e-02 4.875000e+00 2.240441e-04 -1.352578e+00
9.765625e-02 4.968750e+00 1.972585e-04 -1.299084e+00
9.765625e-02 5.062500e+00 1.724277e-04 -1.245410e+00
9.765625e-02 5.156250e+00 1.534206e-04 -1.176969e+00
9.765625e-02 5.250000e+00 1.339893e-04 -1.119938e+00
9.765625e-02 5.343750e+00 1.169782e-04 -1.061122e+00
9.765625e-02 5.437500e+00 1.040002e-04 -1.026893e+00
9.765625e-02 5.531250e+00 9.476731e-05 -9.752307e-01
9.765625e-02 5.625000e+00 8.145813e-05 -9.471519e-01
9.765625e-02 5.718750e+00 6.930174e-05 -9.051717e-01
9.765625e-02 5.812500e+00 5.566355e-05 -9.070134e-01
9.765625e-02 5.906250e+00 4.432099e-05 -8.687696e-01
9.765625e-02 6.000000e+00 3.459087e-05 -8.715379e-01
1.953125e-01 9.375000e-02 -1.854414e-07 -1.516076e+00
1.953125e-01 1.875000e-01 -2.611870e-07 -1.545106e+00
1.953125e-01 2.812500e-01 -1.198267e-06 -1.508046e+00
1.953125e-01 3.750000e-01 -2.474821e-06 -1.555456e+00
1.953125e-01 4.687500e-01 -4.110125e-06 1.567798e+00
1.953125e-01 5.625000e-01 -6.332731e-06 1.515542e+00
1.953125e-01 6.562500e-01 -9.156646e-06 1.491142e+00
1.953125e-01 7.500000e-01 -1.262385e-05 1.437030e+00
1.953125e-01 8.437500e-01 -1.695186e-05 1.392076e+00
1.953125e-01 9.375000e-01 -2.231213e-05 1.327129e+00
1.953125e-01 1.031250e+00 -2.831323e-05 1.279560e+00
1.953125e-01 1.125000e+00 -3.725662e-05 1.227131e+00
1.953125e-01 1.218750e+00 -4.725457e-05 1.199382e+00
1.953125e-01 1.312500e+00 -5.911335e-05 1.161935e+00
1.953125e-01 1.406250e+00 -7.066052e-05 1.129042e+00
1.953125e-01 1.500000e+00 -8.995404e-05 1.102515e+00
1.953125e-01 1.593750e+00 -1.039927e-04 1.095910e+00
1.953125e-01 1.687500e+00 -1.283722e-04 1.097878e+00
1.953125e-01 1.781250e+00 -1.491998e-04 1.112012e+00
1.953125e-01 1.875000e+00 -1.742176e-04 1.128559e+00
1.953125e-01 1.968750e+00 -1.952058e-04 1.134511e+00
1.953125e-01 2.062500e+00 -2.212853e-04 1.146833e+00
1.953125e-01 2.156250e+00 -2.388308e-04 1.151214e+00
1.953125e-01 2.250000e+00 -2.603143e-04 1.162661e+00
1.953125e-01 2.343750e+00 -2.832076e-04 1.174564e+00
1.953125e-01 2.437500e+00 -2.942689e-04 1.182606e+00
1.953125e-01 2.531250e+00 -3.245779e-04 1.186322e+00
1.953125e-01 2.625000e+00 -3.333637e-04 1.178366e+00
1.953125e-01 2.718750e+00 -3.576283e-04 1.164154e+00
1.953125e-01 2.812500e+00 -3.759607e-04 1.145925e+00
1.953125e-01 2.906250e+00 -3.817345e-04 1.131737e+00
1.953125e-01 3.000000e+00 -4.079635e-04 1.124631e+00
1.953125e-01 3.093750e+00 -4.036685e-04 1.128658e+00
1.953125e-01 3.187500e+00 -4.215198e-04 1.141683e+00
1.953125e-01 3.281250e+00 -4.268377e-04 1.159258e+00
1.953125e-01 3.375000e+00 -4.250450e-04 1.176126e+00
1.953125e-01 3.468750e+00 -4.437387e-04 1.187029e+00
1.953125e-01 3.562500e+00 -4.323301e-04 1.186451e+00
1.953125e-01 3.656250e+00 -4.455526e-04 1.180790e+00
1.953125e-01 3.750000e+00 -4.400122e-04 1.168333e+00
1.953125e-01 3.843750e+00 -4.302938e-04 1.155424e+00
1.953125e-01 3.937500e+00 -4.265190e-04 1.147941e+00
1.953125e-01 4.031250e+00 -4.022524e-04 1.133065e+00
1.953125e-01 4.125000e+00 -3.835665e-04 1.124582e+00
1.953125e-01 4.218750e+00 -3.543886e-04 1.107033e+00
1.953125e-01 4.312500e+00 -3.259105e-04 1.090432e+00
1.953125e-01 4.406250e+00 -2.847537e-04 1.086564e+00
1.953125e-01 4.500000e+00 -2.636550e-04 1.091091e+00
1.953125e-01 4.593750e+00 -2.235523e-04 1.116547e+00
1.953125e-01 4.687500e+00 -2.028211e-04 1.153445e+00
1.953125e-01 4.781250e+00 -1.785789e-04 1.196549e+00
1.953125e-01 4.875000e+00 -1.560864e-04 1.233003e+00
1.953125e-01 4.968750e+00 -1.328204e-04 1.292722e+00
1.953125e-01 5.062500e+00 -1.184490e-04 1.350081e+00
1.953125e-01 5.156250e+00 -1.024883e-04 1.423057e+00
1.953125e-01 5.250000e+00 -8.997495e-05 1.478559e+00
1.953125e-01 5.343750e+00 -7.839444e-05 1.538797e+00
1.953125e-01 5.437500e+00 -6.693556e-05 1.566879e+00
1.953125e-01 5.531250e+00 -5.535092e-05 -1.524440e+00
1.953125e-01 5.625000e+00 -4.451628e-05 -1.507113e+00
1.953125e-01 5.718750e+00 -3.637797e-05 -1.467464e+00
1.953125e-01 5.812500e+00 -2.100535e-05 -1.482762e+00
1.953125e-01 5.906250e+00 -1.037586e-05 -1.481122e+00
1.953125e-01 6.000000e+00 -8.742986e-06 -1.539788e+00
2.929688e-01 9.375000e-02 2.087823e-06 -9.806894e-01
2.929688e-01 1.875000e-01 5.049271e-06 -1.022395e+00
2.929688e-01 2.812500e-01 8.209420e-06 -1.024850e+00
2.929688e-01 3.750000e-01 1.280909e-05 -1.091674e+00
2.929688e-01 4.687500e-01 2.142152e-05 -1.121322e+00
2.929688e-01 5.625000e-01 2.930377e-05 -1.174402e+00
2.929688e-01 6.562500e-01 4.040850e-05 -1.202535e+00
2.929688e-01 7.500000e-01 5.596820e-05 -1.255274e+00
2.929688e-01 8.437500e-01 7.613168e-05 -1.302193e+00
2.929688e-01 9.375000e-01 9.691039e-05 -1.364010e+00
2.929688e-01 1.031250e+00 1.257194e-04 -1.408168e+00
2.929688e-01 1.125000e+00 1.555362e-04 -1.455384e+00
2.929688e-01 1.218750e+00 2.021852e-04 -1.481241e+00
2.929688e-01 1.312500e+00 2.647788e-04 -1.514942e+00
2.929688e-01 1.406250e+00 3.527201e-04 -1.545246e+00
2.929688e-01 1.500000e+00 4.114948e-04 -1.569099e+00
2.929688e-01 1.593750e+00 5.165655e-04 1.567521e+00
2.929688e-01 1.687500e+00 5.974150e-04 1.570454e+00
2.929688e-01 1.781250e+00 7.233563e-04 -1.557883e+00
2.929688e-01 1.875000e+00 8.567685e-04 -1.542534e+00
2.929688e-01 1.968750e+00 1.011581e-03 -1.537440e+00
2.929688e-01 2.062500e+00 1.111541e-03 -1.526529e+00
2.929688e-01 2.156250e+00 1.218551e-03 -1.522210e+00
2.929688e-01 2.250000e+00 1.272536e-03 -1.511590e+00
2.929688e-01 2.343750e+00 1.299827e-03 -1.500171e+00
2.929688e-01 2.437500e+00 1.408056e-03 -1.492537e+00
2.929688e-01 2.531250e+00 1.430866e-03 -1.489405e+00
2.929688e-01 2.625000e+00 1.591434e-03 -1.496932e+00
2.929688e-01 2.718750e+00 1.684938e-03 -1.510577e+00
2.929688e-01 2.812500e+00 1.791630e-03 -1.527742e+00
2.929688e-01 2.906250e+00 1.947606e-03 -1.540915e+00
2.929688e-01 3.000000e+00 1.946006e-03 -1.547484e+00
2.929688e-01 3.093750e+00 2.060583e-03 -1.543355e+00
2.929688e-01 3.187500e+00 2.020417e-03 -1.530950e+00
2.929688e-01 3.281250e+00 2.010544e-03 -1.514339e+00
2.929688e-01 3.375000e+00 2.038596e-03 -1.498449e+00
2.929688e-01 3.468750e+00 1.956237e-03 -1.488477e+00
2.929688e-01 3.562500e+00 2.056820e-03 -1.489014e+00
2.929688e-01 3.656250e+00 2.044234e-03 -1.494676e+00
2.929688e-01 3.750000e+00 2.120936e-03 -1.506529e+00
2.929688e-01 3.843750e+00 2.190434e-03 -1.518790e+00
2.929688e-01 3.937500e+00 2.134780e-03 -1.526077e+00
2.929688e-01 4.031250e+00 2.086956e-03 -1.539703e+00
2.929688e-01 4.125000e+00 1.911689e-03 -1.547617e+00
2.929688e-01 4.218750e+00 1.725183e-03 -1.563533e+00
2.929688e-01 4.312500e+00 1.534135e-03 1.562732e+00
2.929688e-01 4.406250e+00 1.417412e-03 1.559106e+00
2.929688e-01 4.500000e+00 1.216748e-03 1.563172e+00
2.929688e-01 4.593750e+00 1.119313e-03 -1.554994e+00
2.929688e-01 4.687500e+00 9.262841e-04 -1.520776e+00
2.929688e-01 4.781250e+00 7.653857e-04 -1.481330e+00
2.929688e-01 4.875000e+00 6.492454e-04 -1.447220e+00
2.929688e-01 4.968750e+00 5.835275e-04 -1.392948e+00
2.929688e-01 5.062500e+00 5.077148e-04 -1.338954e+00
2.929688e-01 5.156250e+00 4.584437e-04 -1.270258e+00
2.929688e-01 5.250000e+00 3.950349e-04 -1.214399e+00
2.929688e-01 5.343750e+00 3.434790e-04 -1.155892e+00
2.929688e-01 5.437500e+00 3.022926e-04 -1.124192e+00
2.929688e-01 5.531250e+00 2.803937e-04 -1.072644e+00
2.929688e-01 5.625000e+00 2.353139e-04 -1.048388e+00
2.929688e-01 5.718750e+00 1.872014e-04 -1.002751e+00
2.929688e-01 5.812500e+00 1.633373e-04 -9.905456e-01
2.929688e-01 5.906250e+00 1.666374e-04 -9.590845e-01
2.929688e-01 6.000000e+00 1.271909e-04 -9.984092e-01
3.906250e-01 9.375000e-02 -1.641509e-06 -1.224876e+00
3.906250e-01 1.875000e-01 -4.453327e-06 -1.281210e+00
3.906250e-01 2.812500e-01 -7.857779e-06 -1.281938e+00
3.906250e-01 3.750000e-01 -1.031620e-05 -1.321796e+00
3.906250e-01 4.687500e-01 -1.638908e-05 -1.326105e+00
3.906250e-01 5.625000e-01 -2.765845e-05 -1.374995e+00
3.906250e-01 6.562500e-01 -3.929916e-05 -1.400198e+00
3.906250e-01 7.500000e-01 -5.398474e-05 -1.451979e+00
3.906250e-01 8.437500e-01 -7.099074e-05 -1.497066e+00
3.906250e-01 9.375000e-01 -9.455979e-05 -1.559921e+00
3.906250e-01 1.031250e+00 -1.205162e-04 1.535961e+00
3.906250e-01 1.125000e+00 -1.612454e-04 1.486279e+00
3.906250e-01 1.218750e+00 -2.042946e-04 1.459627e+00
3.906250e-01 1.312500e+00 -2.572236e-04 1.423715e+00
3.906250e-01 1.406250e+00 -3.063165e-04 1.391808e+00
3.906250e-01 1.500000e+00 -3.993320e-04 1.366250e+00
3.906250e-01 1.593750e+00 -4.623170e-04 1.360112e+00
3.906250e-01 1.687500e+00 -5.768935e-04 1.362426e+00
3.906250e-01 1.781250e+00 -6.674887e-04 1.376028e+00
3.906250e-01 1.875000e+00 -7.762994e-04 1.391924e+00
3.906250e-01 1.968750e+00 -8.644047e-04 1.397336e+00
3.906250e-01 2.062500e+00 -9.804774e-04 1.408968e+00
3.906250e-01 2.156250e+00 -1.057738e-03 1.413272e+00
3.906250e-01 2.250000e+00 -1.152666e-03 1.424465e+00
3.906250e-01 2.343750e+00 -1.258630e-03 1.436307e+00
3.906250e-01 2.437500e+00 -1.295715e-03 1.444297e+00
3.906250e-01 2.531250e+00 -1.435960e-03 1.447915e+00
3.906250e-01 2.625000e+00 -1.464092e-03 1.440113e+00
3.906250e-01 2.718750e+00 -1.575540e-03 1.426129e+00
3.906250e-01 2.812500e+00 -1.664744e-03 1.408252e+00
3.906250e-01 2.906250e+00 -1.686043e-03 1.394379e+00
3.906250e-01 3.000000e+00 -1.820679e-03 1.387487e+00
3.906250e-01 3.093750e+00 -1.790370e-03 1.391513e+00
3.906250e-01 3.187500e+00 -1.874285e-03 1.404376e+00
3.906250e-01 3.281250e+00 -1.893201e-03 1.421625e+00
3.906250e-01 3.375000e+00 -1.871104e-03 1.438153e+00
3.906250e-01 3.468750e+00 -1.963822e-03 1.448742e+00
3.906250e-01 3.562500e+00 -1.899505e-03 1.448104e+00
3.906250e-01 3.656250e+00 -1.967672e-03 1.442374e+00
3.906250e-01 3.750000e+00 -1.943045e-03 1.430008e+00
3.906250e-01 3.843750e+00 -1.896151e-03 1.417228e+00
3.906250e-01 3.937500e+00 -1.887255e-03 1.409768e+00
3.906250e-01 4.031250e+00 -1.780537e-03 1.395424e+00
3.906250e-01 4.125000e+00 -1.705500e-03 1.387286e+00
3.906250e-01 4.218750e+00 -1.586376e-03 1.370590e+00
3.906250e-01 4.312500e+00 -1.465764e-03 1.354690e+00
3.906250e-01 4.406250e+00 -1.272635e-03 1.351047e+00
3.906250e-01 4.500000e+00 -1.179796e-03 1.355621e+00
3.906250e-01 4.593750e+00 -9.820120e-04 1.380327e+00
3.906250e-01 4.687500e+00 -8.879491e-04 1.416383e+00
3.906250e-01 4.781250e+00 -7.777150e-04 1.458005e+00
3.906250e-01 4.875000e+00 -6.782572e-04 1.493448e+00
3.906250e-01 4.968750e+00 -5.659019e-04 1.550432e+00
3.906250e-01 5.062500e+00 -5.038495e-04 -1.535659e+00
3.906250e-01 5.156250e+00 -4.291222e-04 -1.465073e+00
3.906250e-01 5.250000e+00 -3.830941e-04 -1.410408e+00
3.906250e-01 5.343750e+00 -3.344864e-04 -1.351545e+00
3.906250e-01 5.437500e+00 -2.903780e-04 -1.323677e+00
3.906250e-01 5.531250e+00 -2.380259e-04 -1.273469e+00
3.906250e-01 5.625000e+00 -1.823661e-04 -1.257465e+00
3.906250e-01 5.718750e+00 -1.553165e-04 -1.236228e+00
3.906250e-01 5.812500e+00 -1.571820e-04 -1.250541e+00
3.906250e-01 5.906250e+00 -1.362951e-04 -1.214266e+00
3.906250e-01 6.000000e+00 -1.060006e-04 -1.247921e+00
4.882812e-01 9.375000e-02 3.941927e-06 -9.587066e-01
4.882812e-01 1.875000e-01 9.819521e-06 -1.007917e+00
4.882812e-01 2.812500e-01 1.941930e-05 -1.004216e+00
4.882812e-01 3.750000e-01 3.056848e-05 -1.045531e+00
4.882812e-01 4.687500e-01 3.960679e-05 -1.071315e+00
4.882812e-01 5.625000e-01 4.875831e-05 -1.134484e+00
4.882812e-01 6.562500e-01 7.157641e-05 -1.164379e+00
4.882812e-01 7.500000e-01 1.014302e-04 -1.216555e+00
4.882812e-01 8.437500e-01 1.404754e-04 -1.263389e+00
4.882812e-01 9.375000e-01 1.776087e-04 -1.325135e+00
4.882812e-01 1.031250e+00 2.314247e-04 -1.369473e+00
4.882812e-01 1.125000e+00 2.792935e-04 -1.417019e+00
4.882812e-01 1.218750e+00 3.657215e-04 -1.442770e+00
4.882812e-01 1.312500e+00 4.853482e-04 -1.476768e+00
4.882812e-01 1.406250e+00 6.685781e-04 -1.507166e+00
4.882812e-01 1.500000e+00 7.525975e-04 -1.531260e+00
4.882812e-01 1.593750e+00 9.686721e-04 -1.536330e+00
4.882812e-01 1.687500e+00 1.092837e-03 -1.533490e+00
4.882812e-01 1.781250e+00 1.343217e-03 -1.520117e+00
4.882812e-01 1.875000e+00 1.600447e-03 -1.504643e+00
4.882812e-01 1.968750e+00 1.923388e-03 -1.499487e+00
4.882812e-01 2.062500e+00 2.094817e-03 -1.488429e+00
4.882812e-01 2.156250e+00 2.307734e-03 -1.484141e+00
4.882812e-01 2.250000e+00 2.380140e-03 -1.473443e+00
4.882812e-01 2.343750e+00 2.380447e-03 -1.461984e+00
