x y z value
9.765625e-02 9.375000e-02 8.947487e-07 -1.001098e+00
9.765625e-02 1.875000e-01 1.279803e-06 -1.161423e+00
9.765625e-02 2.812500e-01 3.395406e-06 -1.303284e+00
9.765625e-02 3.750000e-01 4.369814e-06 -1.514242e+00
9.765625e-02 4.687500e-01 1.031156e-05 1.461267e+00
9.765625e-02 5.625000e-01 1.624173e-05 1.323481e+00
9.765625e-02 6.562500e-01 3.553140e-05 1.246895e+00
9.765625e-02 7.500000e-01 5.708878e-05 1.232295e+00
9.765625e-02 8.437500e-01 9.457929e-05 1.229098e+00
9.765625e-02 9.375000e-01 1.400183e-04 1.265176e+00
9.765625e-02 1.031250e+00 1.737497e-04 1.284979e+00
9.765625e-02 1.125000e+00 2.223288e-04 1.288068e+00
9.765625e-02 1.218750e+00 2.724768e-04 1.286710e+00
9.765625e-02 1.312500e+00 3.340018e-04 1.277065e+00
9.765625e-02 1.406250e+00 4.179982e-04 1.273802e+00
9.765625e-02 1.500000e+00 5.020330e-04 1.278128e+00
9.765625e-02 1.593750e+00 5.826962e-04 1.279555e+00
9.765625e-02 1.687500e+00 6.757301e-04 1.278549e+00
9.765625e-02 1.781250e+00 7.764054e-04 1.278121e+00
9.765625e-02 1.875000e+00 8.812190e-04 1.278359e+00
9.765625e-02 1.968750e+00 9.881416e-04 1.278377e+00
9.765625e-02 2.062500e+00 1.099400e-03 1.278393e+00
9.765625e-02 2.156250e+00 1.211382e-03 1.278348e+00
9.765625e-02 2.250000e+00 1.324867e-03 1.278383e+00
9.765625e-02 2.343750e+00 1.436572e-03 1.278356e+00
9.765625e-02 2.437500e+00 1.547182e-03 1.278379e+00
9.765625e-02 2.531250e+00 1.653548e-03 1.278359e+00
9.765625e-02 2.625000e+00 1.755970e-03 1.278376e+00
9.765625e-02 2.718750e+00 1.851729e-03 1.278363e+00
9.765625e-02 2.812500e+00 1.940693e-03 1.278372e+00
9.765625e-02 2.906250e+00 2.020784e-03 1.278367e+00
9.765625e-02 3.000000e+00 2.091383e-03 1.278368e+00
9.765625e-02 3.093750e+00 2.151255e-03 1.278370e+00
9.765625e-02 3.187500e+00 2.199251e-03 1.278365e+00
9.765625e-02 3.281250e+00 2.235152e-03 1.278374e+00
9.765625e-02 3.375000e+00 2.257260e-03 1.278361e+00
9.765625e-02 3.468750e+00 2.266500e-03 1.278377e+00
9.765625e-02 3.562500e+00 2.260630e-03 1.278358e+00
9.765625e-02 3.656250e+00 2.241797e-03 1.278382e+00
9.765625e-02 3.750000e+00 2.207262e-03 1.278353e+00
9.765625e-02 3.843750e+00 2.160372e-03 1.278382e+00
9.765625e-02 3.937500e+00 2.097810e-03 1.278354e+00
9.765625e-02 4.031250e+00 2.024458e-03 1.278421e+00
9.765625e-02 4.125000e+00 1.937466e-03 1.278315e+00
9.765625e-02 4.218750e+00 1.840214e-03 1.278170e+00
9.765625e-02 4.312500e+00 1.725574e-03 1.278459e+00
9.765625e-02 4.406250e+00 1.611910e-03 1.279640e+00
9.765625e-02 4.500000e+00 1.504531e-03 1.278228e+00
9.765625e-02 4.593750e+00 1.368506e-03 1.273860e+00
9.765625e-02 4.687500e+00 1.191939e-03 1.276326e+00
9.765625e-02 4.781250e+00 1.067172e-03 1.286563e+00
9.765625e-02 4.875000e+00 9.610293e-04 1.289099e+00
9.765625e-02 4.968750e+00 8.390933e-04 1.286556e+00
9.765625e-02 5.062500e+00 7.561612e-04 1.266445e+00
9.765625e-02 5.156250e+00 5.879737e-04 1.227925e+00
9.765625e-02 5.250000e+00 4.004596e-04 1.223755e+00
9.765625e-02 5.343750e+00 2.855716e-04 1.238236e+00
9.765625e-02 5.437500e+00 1.525539e-04 1.316426e+00
9.765625e-02 5.531250e+00 1.143334e-04 1.471877e+00
9.765625e-02 5.625000e+00 6.473151e-05 -1.476957e+00
9.765625e-02 5.718750e+00 7.067216e-05 -1.252342e+00
9.765625e-02 5.812500e+00 4.741713e-05 -1.113042e+00
9.765625e-02 5.906250e+00 6.157769e-05 -9.938315e-01
9.765625e-02 6.000000e+00 3.764037e-05 -9.861167e-01
1.953125e-01 9.375000e-02 -9.914659e-07 -1.085675e+00
