x y z value
9.765625e-02 9.375000e-02 9.981439e-07 -1.131174e+00
9.765625e-02 1.875000e-01 1.683564e-06 -1.190489e+00
9.765625e-02 2.812500e-01 3.858662e-06 -1.320692e+00
9.765625e-02 3.750000e-01 5.214126e-06 -1.421174e+00
9.765625e-02 4.687500e-01 9.593004e-06 1.569032e+00
9.765625e-02 5.625000e-01 1.376855e-05 1.456376e+00
9.765625e-02 6.562500e-01 2.442271e-05 1.333374e+00
9.765625e-02 7.500000e-01 3.832447e-05 1.271166e+00
9.765625e-02 8.437500e-01 6.188032e-05 1.215444e+00
9.765625e-02 9.375000e-01 9.632667e-05 1.211517e+00
9.765625e-02 1.031250e+00 1.335203e-04 1.211786e+00
9.765625e-02 1.125000e+00 1.898925e-04 1.233348e+00
9.765625e-02 1.218750e+00 2.316746e-04 1.258428e+00
9.765625e-02 1.312500e+00 2.850239e-04 1.270013e+00
9.765625e-02 1.406250e+00 3.336561e-04 1.281042e+00
9.765625e-02 1.500000e+00 3.747995e-04 1.271419e+00
9.765625e-02 1.593750e+00 4.515026e-04 1.257471e+00
9.765625e-02 1.687500e+00 5.352674e-04 1.255438e+00
9.765625e-02 1.781250e+00 6.179071e-04 1.256231e+00
9.765625e-02 1.875000e+00 7.093253e-04 1.260795e+00
9.765625e-02 1.968750e+00 7.837864e-04 1.264567e+00
9.765625e-02 2.062500e+00 8.612800e-04 1.262038e+00
9.765625e-02 2.156250e+00 9.573501e-04 1.259546e+00
9.765625e-02 2.250000e+00 1.053106e-03 1.260412e+00
9.765625e-02 2.343750e+00 1.138083e-03 1.261336e+00
9.765625e-02 2.437500e+00 1.223683e-03 1.261117e+00
9.765625e-02 2.531250e+00 1.308884e-03 1.260877e+00
9.765625e-02 2.625000e+00 1.390575e-03 1.260918e+00
9.765625e-02 2.718750e+00 1.466077e-03 1.260968e+00
9.765625e-02 2.812500e+00 1.536443e-03 1.260961e+00
9.765625e-02 2.906250e+00 1.599879e-03 1.260953e+00
9.765625e-02 3.000000e+00 1.655808e-03 1.260953e+00
9.765625e-02 3.093750e+00 1.703194e-03 1.260953e+00
9.765625e-02 3.187500e+00 1.741105e-03 1.260961e+00
9.765625e-02 3.281250e+00 1.769698e-03 1.260968e+00
9.765625e-02 3.375000e+00 1.787479e-03 1.260921e+00
9.765625e-02 3.468750e+00 1.794208e-03 1.260870e+00
9.765625e-02 3.562500e+00 1.787809e-03 1.261108e+00
9.765625e-02 3.656250e+00 1.775965e-03 1.261355e+00
