x y z value
9.765625e-02 9.375000e-02 9.241283e-07 -1.216972e+00
9.765625e-02 1.875000e-01 2.132524e-06 -1.244778e+00
9.765625e-02 2.812500e-01 3.695285e-06 -1.356711e+00
9.765625e-02 3.750000e-01 6.154800e-06 -1.415295e+00
9.765625e-02 4.687500e-01 8.947049e-06 -1.535334e+00
9.765625e-02 5.625000e-01 1.379148e-05 1.521600e+00
9.765625e-02 6.562500e-01 1.978553e-05 1.405767e+00
9.765625e-02 7.500000e-01 3.112872e-05 1.329980e+00
9.765625e-02 8.437500e-01 4.472641e-05 1.252624e+00
9.765625e-02 9.375000e-01 7.009374e-05 1.213308e+00
9.765625e-02 1.031250e+00 9.645932e-05 1.187054e+00
9.765625e-02 1.125000e+00 1.415161e-04 1.182205e+00
9.765625e-02 1.218750e+00 1.824524e-04 1.194251e+00
9.765625e-02 1.312500e+00 2.389618e-04 1.207069e+00
9.765625e-02 1.406250e+00 2.905892e-04 1.232544e+00
9.765625e-02 1.500000e+00 3.366247e-04 1.244942e+00
9.765625e-02 1.593750e+00 3.922543e-04 1.256036e+00
9.765625e-02 1.687500e+00 4.282318e-04 1.255612e+00
9.765625e-02 1.781250e+00 4.883521e-04 1.242909e+00
9.765625e-02 1.875000e+00 5.567370e-04 1.235427e+00
9.765625e-02 1.968750e+00 6.283673e-04 1.226677e+00
9.765625e-02 2.062500e+00 7.305386e-04 1.227768e+00
9.765625e-02 2.156250e+00 8.050094e-04 1.238084e+00
9.765625e-02 2.250000e+00 8.609235e-04 1.241305e+00
9.765625e-02 2.343750e+00 9.293445e-04 1.240185e+00
9.765625e-02 2.437500e+00 9.939816e-04 1.237679e+00
9.765625e-02 2.531250e+00 1.067632e-03 1.234273e+00
9.765625e-02 2.625000e+00 1.149509e-03 1.235085e+00
9.765625e-02 2.718750e+00 1.208066e-03 1.238081e+00
9.765625e-02 2.812500e+00 1.254653e-03 1.238107e+00
9.765625e-02 2.906250e+00 1.309925e-03 1.236648e+00
9.765625e-02 3.000000e+00 1.361642e-03 1.236094e+00
9.765625e-02 3.093750e+00 1.394710e-03 1.236578e+00
9.765625e-02 3.187500e+00 1.421589e-03 1.238062e+00
9.765625e-02 3.281250e+00 1.457674e-03 1.238200e+00
9.765625e-02 3.375000e+00 1.478235e-03 1.235268e+00
9.765625e-02 3.468750e+00 1.464322e-03 1.234059e+00
9.765625e-02 3.562500e+00 1.452031e-03 1.237345e+00
9.765625e-02 3.656250e+00 1.449264e-03 1.240152e+00
9.765625e-02 3.750000e+00 1.433018e-03 1.241712e+00
9.765625e-02 3.843750e+00 1.434466e-03 1.238811e+00
9.765625e-02 3.937500e+00 1.398436e-03 1.228182e+00
9.765625e-02 4.031250e+00 1.291750e-03 1.225310e+00
